University,Region,SubRegion
Aberystwyth University,Wales,
Anglia Ruskin University,East,
Arts University Bournemouth,South East,
Aston University,West Midlands,
Bath Spa University,South West,
Bangor University,Wales,
Birkbeck College,London,Inner London
Bishop Grosseteste University,East Midlands,
Birmingham City University,West Midlands,
Bournemouth University,South East,
Brunel University London,London,Outer London
Buckinghamshire New University,South East,
Canterbury Christ Church University,South East,
Cardiff Metropolitan University,Wales,
Cardiff University,Wales,
Courtauld Institute of Art,London,Inner London
City University London,London,Inner London
Coventry University,West Midlands,
Cranfield University,South East,
De Montfort University,East Midlands,
Edge Hill University,North West,
Edinburgh Napier University,Scotland,
Falmouth University,South West,
Guildhall School of Music & Drama,London,Inner London
Glasgow Caledonian University,Scotland,
Glyndŵr University,Wales,
Goldsmiths' College,London,inner London
Harper Adams University,Wales,
Heriot-Watt University,Scotland,
Heythrop College,London,Inner London
Imperial College London,London,Inner London
Institute of Cancer Research,London,Inner London
Keele University,West Midlands,
King's College London,London,Inner London
Kingston University,London,Outer London
Lancaster University,North West,
Leeds Beckett University,Yorkshire,
Leeds Trinity University,Yorkshire,
Liverpool Hope University,North West,
Liverpool John Moores University,North West,
Liverpool School of Tropical Medicine,North West,
London Metropolitan University,London,Inner London
London School of Hygiene & Tropical Medicine,London,Inner London
London South Bank University,London,Inner London
London Business School,London,Inner London
London School of Economics and Political Science,London,Inner London
Loughborough University,East Midlands,
Manchester Metropolitan University,North West,
Middlesex University,London,Outer London
Newcastle University,North East,
Newman University,West Midlands,
Nottingham Trent University,East Midlands,
Open University,South East,
Oxford Brookes University,South East,
Queen Margaret University Edinburgh,Scotland,
Queen Mary University of London,London,Inner London
Queen's University Belfast,Northern Ireland,
Robert Gordon University,Scotland,
Roehampton University,London,Outer London
Royal Agricultural University,South West,
"Royal Holloway, University of London",London,Inner London
Royal Veterinary College,London,Inner London
Sheffield Hallam University,Yorkshire,
SRUC,Scotland,
"St.George's, University of London",London,Outer London
Staffordshire University,West Midlands,
Swansea University,Wales,
Teesside University,North East,
The University of West London,London,Outer London
University College London,London,Inner London
University of Aberdeen,Scotland,
University of Abertay Dundee,Scotland,
University of Bath,South West,
University of Bedfordshire,South East,
University of Birmingham,West Midlands,
University of Bolton,North West,
University of Bradford,Yorkshire,
University of Brighton,South East,
University of Bristol,South West,
University of Cambridge,East,
University of Central Lancashire,North West,
University of Chester,North West,
University of Chichester,South East,
University of Cumbria,North West,
University of Derby,East Midlands,
University of Dundee,Scotland,
University of Durham,North East,
University of East Anglia,East,
University of East London,London,Outer London
University of Edinburgh,Scotland,
University of Essex,East,
University of Exeter,South West,
University of Glasgow,Scotland,
University of Gloucestershire,South West,
University of Greenwich,London,Inner London
University of Hertfordshire,South East,
University of Huddersfield,Yorkshire,
University of Hull,Yorkshire,
University of Kent,South East,
University of Leeds,Yorkshire,
University of Leicester,East Midlands,
University of Lincoln,East Midlands,
University of Liverpool,North West,
University of Manchester,North West,
University of Northampton,East Midlands,
University of Northumbria at Newcastle,North East,
University of Nottingham,East Midlands,
University of Oxford,South East,
University of Plymouth,South West,
University of Portsmouth,South East,
University of Reading,South East,
University of Salford,North West,
University of Sheffield,Yorkshire,
University of South Wales,Wales,
University of Southampton,South East,
University of St Andrews,Scotland,
University of Stirling,Scotland,
University of Strathclyde,Scotland,
University of Sunderland,North East,
University of Surrey,South East,
University of Sussex,South East,
"University of the Arts, London",London,Inner London
University of the Highlands and Islands,Scotland,
"University of the West of England, Bristol",South West,
University of the West of Scotland,Scotland,
University of Ulster,Northern Ireland,
University of Warwick,West Midlands,
University of Westminster,London,inner London
University of Winchester,South East,
University of Wolverhampton,West Midlands,
University of Worcester,South West,
University of York,Yorkshire,
Writtle College,South East,
York St John University,Yorkshire,
Norwich University of the Arts,East,
School of Oriental and African Studies,London,Inner London
"St Mary's University, Twickenham",London,Outer London
Southampton Solent University,South East,
University of Wales,Wales,
University of Wales Trinity Saint David,Wales,
Glasgow School of Art,Scotland,
Royal Conservatoire of Scotland,Scotland,
University for the Creative Arts,South East,
Trinity Laban Conservatoire of Music and Dance,London,Inner London
Royal Academy of Music,London,Inner London
Royal Central School of Speech and Drama,London,Inner London
Royal Northern College of Music,North West,
Royal College of Music,London,Inner London
Rose Bruford College,South East,
Royal College of Art,London,Inner London
Institute of Zoology,London,Inner London
St Mary's University College,Northern Ireland,
Stranmillis University College,Northern Ireland,
